userName,score,at,content
ayu nabillah,5,2025-04-17 00:38:15,suka banget belanja di alfamart banyak promo setiapnya hari.. ga lupa juga sama hadiah hadiah menariknyaa😍😍
Iwan Ahmadirawan,5,2025-04-17 00:37:23,"makin praktis aja nih belanja di Alfamart, skg sdh ada aplikasi belanja online Alfagift dan banyak kegunaan lainnya juga"
rusdi yanto,5,2025-04-17 00:25:33,sangat membantu belanja semakin mudah dan bisa di antar dengan bebas onkir ..buru belanja di alfa gift
Riska Yuliana,5,2025-04-17 00:15:56,"ga perlu ribet keluar rumah ... langsung di antar .. pengiriman cepat... mantap lah Poko nya solusi yang mager"" ..."
Putri Maisarani,5,2025-04-17 00:14:10,Apk nya bagus. Bnyk promo menarik dan bisa bngt buat kita yg mles kluar tpi mau nya ngemil trus. ☺
Anita Chandra,5,2025-04-17 00:12:51,kebantu banget kalo lagi males keluar rumah buat belnja terimakasih alfamart udh bikin aplikasi yang memudahkan buat emak emak mager seperti saya hihi 😊
Muhamad Abdul Mughofar,5,2025-04-17 00:12:20,"banyak promo menarik , harga ramah di kantong dan mudah untuk berbelanja kebutuhan"
miftahul janah,5,2025-04-17 00:11:32,"pengiriman barang cepat, barangnya lengkap, harga terjangkau dan banyak promonya. jadi lebih mudah berbelanja dari rumah👍👍"
Farhan Hadiana,1,2025-04-16 13:36:22,"Aneh gabisa kirim atau delivery kerumah, padahal lokasi di hp sudah dinyalakan tapi kenapa ga muncul fitur delivery lanjutannya.."
emysan toso,1,2025-04-16 12:59:44,"tolong kasir laki Alfamart green lake Kosambi sebelah kiri cluster Amerika ditertibkan. Jangan membulatkan harga seenaknya. Uang 100 Rp juga berharga, klo kurang 100, uang 50.000 ga berharga 50.000 khan tetapi 49.900."
rani pujianti,4,2025-04-16 06:22:03,"sangat membantu bgt buat yg males belanja keluar, pengiriman jg cepat.. tp syang bgt skrg mah hadiah nya stok kosong trussss"
veni ernawati sari,4,2025-04-16 06:05:15,niat gk sih ngasih vcger blnja ribet bgts kta nya mnimal blnjs 150 pdhal blnjaan udh hbis 170 an kta nya hrus ad prosuk trtntu produk nya jg udh ikut di co tp ttep aja blum memenuhi syarat susah bgts klaim vcher nya lwat aplikasi gk kyak dlu gampang
Lani Lani,1,2025-04-16 06:01:28,kurir nya penipu. saya beli produk harga 63.200. uang saya 100.000. katanya kembalian nya gak ada saya tukar uang dulu sebentar gakpp mas. iya kata saya gkpp. ditungguin gak datang-datang sdh hampir 1 jam
Putri Pertiwi,5,2025-04-16 04:27:50,Aku kasih bintang 5 karena belanja di alfagift itu ada program A poin dan Coin Rewards. Setiap kali belanja selalu dapat promo dan koinnya. jadi koinnya bisa ditukar lagi deh di pembelanjaan selanjutnya. Semoga Alfagift sukses terus dan lebih banyak promonya. Aamiin
prmtc prmt,5,2025-04-16 02:13:47,"Aku kasih bintang 5⭐️ untuk aplikasi ALFAGIFT, karena belanja untung dengan program Serba Gratis di Alfagift. Saya sudah menggunakan Alfagift kurang lebih 2 tahun. saya sudah coba program Alfagift mulai harga special, sering mendapatkan tebus murah karena saya sering belanja dengan minimal belanja yang di tentukan, program gratis produk juga sering saya dapatkan saat beli 2 gratis 1. Harapan saya untuk Alfagift supaya saya bebas belanja terus kedepannya"
Ajeng Nony Wirantika,5,2025-04-16 01:40:47,"Bintang 5 untuk app Alfagift karena belanja untung dengan program Cashback (gopay, voucher dll), bikin nagih buat belanja. Ketagihan belanja di Alfamart malah bikin tambah untung lho, karena A-Point nya nambah terus juga jadinya. Sampe dulu pernah belanja banyak bayarnya pakai A-Point aja. Selain itu A-Point nya juga bisa dituker jd voucher/free product yg juga worth it bgt. Promonya juga ga kaleng2, mulai dari produk super murah, tebus murah, smp free product. Sukses terus buat Alfamart \(^_^)/"
erry kusnanda,5,2025-04-16 00:33:46,"Aku kasih bintang 5 untuk aplikasi alfagift karena belanja untung dengan program Harga Special di Alfagift. Aku seneng banget dengan Promo Harga Special di Alfagift jadi belanja makin hemat. Semoga Alfagift Selalu memberikan promo gratis produk, gratis ongkir , tebus murah dan promo promo lainnya supaya bebas belanja untung terus kedepannya dan akan selalu menjadi pilihan untuk belanja sukses slalu Alfagift"
Signa 112,5,2025-04-16 00:19:42,"aku kasih bintang 5 karena alfagift sangat bermanfaat untuk memenuhi kebutuhan sehari-hari,setelah 5 tahun pakai alfagift sekarang tidak perlu repot belanja keluar rumah pesanan sudah sampai depan rumah. Promo,tebus dan discountnya selalu ada, jadi menghemat pengeluaran sehari hari. Terima kasih Alfamart sudah hadir dan membantu mempermudah para customer, Semoga alfagift selalu senantiasa sukses dan kian maju dan terus berinovasi 🫶❤️"
herlina j,5,2025-04-15 23:16:40,"Aku kasih bintang 5 untuk aplikasi alfagift karena belanja untung dengan program #AlfagiftBebasOngkir di alfagift . belanja bahan pokok rumah tangga seperti beras, susu anak, dan telur dengan harga spesial banyak diskonnya, hemat banget deh belanja di Alfamart, juga bisa kirim dengan gratis ongkir melalui alfagift. Semoga melalui program alfagift bisa Bebas Belanja untung terus kedepannya."
fadil jaidil,5,2025-04-15 17:56:26,"Aku kasih bintang 5 untuk aplikasi alfagift karena belanja untung dengan promo JSM ""Belanja di aplikasi Alfagift benar-benar praktis dan hemat! Aku suka banget karena ada bebas ongkir tanpa minimal belanja, jadi nggak perlu keluar rumah atau antri di kasir. Yang paling aku tunggu-tunggu adalah promo Jumat, Sabtu, Minggu—diskonnya banyak banget dan sering ada harga spesial untuk produk favorit. Semoga Alfagift selalu menjadi pilihan utama untuk belanja online yang praktis dan hemat."""
Fithri Yani,5,2025-04-15 14:50:57,"Aku kasih bintang 5 buat alfagift karna belanja jadi untung dengan program JSM 😍 Memudahkan bgt belanja kebutuhan rumah karna bsa di antar langsung sampai depan pintu karna klo ke toko bawa baby dan motor itu lumayan riwehh, skrg tinggal klik2 tau2 pesanan sampai mana bsa cod dan ga kena ongkir 🙌 semoga ke depan nya stok2an barang di alfagift makin lengkap ya krn yg d dkt kos aku sering kosong klo lg ada promo2. tp gpp kebantu bgt krn belanja bulanan sembako ku pake alfagift 😍"
ArrKey,1,2025-04-15 13:47:31,"Sering banget ngalamin waktu pesen barang apa tapi yang dikirim beda bahkan kadang pesen banyak barang pasti nanti jumlahnya kurang dari pesanan,kalo complain ke chat juga cuma diread doang pernah sekali barang pesanan dijatohin gitu aja cuma gara2 ku tinggal ambil uang bentar"
JIAN Pello,5,2025-04-15 12:51:23,pelayanan pembelanjaan terbaik karena gratis ongkir tanpa minimum pembelian sangat cocok untuk orang sibuk seperti saya karena bisa belanja dari rumah dan bisa dijadwalkan pembelanjaan nya
Devita Salmah,5,2025-04-15 12:44:03,"""aku kasih bintang 5 untuk Alfagift, karena hanya Alfagift yang bisa untung dengan tebus murah"" aku sangat menyukai program ini, selain itu ada program belanja bisa kumpulin Stamp yang bisa dituker dengan punch bowl set loh. Harapan kepada Alfagift kedepannya selalu memberikan berbagai program lainnya yang sangat menarik.terima kasih Alfagift sudah memberikan kemudahan aku dalam belanja"
Ira Wati,5,2025-04-15 11:38:06,"Alfagift terimakasih sudah hadir.. love u sekebon belanja hemat, banyak diskon , Bebas Ongkir, banyak voucher spesial, dan tebus murah yang super murah, siapa yang Nolak. Sejak tau ada apk alfagift ,belanja kebutuhan pokok ataupun sehari hari jadi lebih mudah apalagi klo siang hari panas atau hujan belanja lewat apk alfagift andalanku... pengiriman cepat dan fast respon. Semoga Alfagift jadi E-commerce No.1 di kota maupun daerah dalam memenuhi kebutuhan sehari hari... Aamiin #AlfagiftBebasOngkir"
Evi Zunitawati,5,2025-04-15 11:34:25,"""Aku kasih bintang 5 untuk aplikasi Alfagift, karena belanja untung dengan program *Harga Special*di Alfagift "". Jujurly, aku seneng banget belanja keperluan cewek seperti pembalut lewat Alfagift. Selain karena gratis ongkir, harganya udah pasti lebih murah karena diskon harga spesial yang ugal ugalan 🥳 aku udah cek disetiap mini market, dan ternyata harga pembalut di Alfagift yang paling murah 👏😍 Semoga Alfagift terus ngasih program menarik lainnya, supaya belanja untung terus kedepannya 🙌"
Gandri Ali Ma'sum,2,2025-04-14 14:16:02,"Baru kali ini kecewa dengan attitude dan hospitality karyawan alfagift. Mohon banget disediakan fitur komplain dengan mudah untuk sebuah toko yg tidak kompeten, lalu ada fitur di mana pihak pembeli dapat memilih toko alfa yg menyediakan layanan alfagift. Saya sudah cukup panjang ya menceritakan komplain saya via email ke alfacare, mohon dibaca ya untuk evaluasi kalian. Terima kasih."
Radisa Family,4,2025-04-14 10:51:09,selama penggunaan alfagift tidak ada kendala. kalo barang kosong admin selalu konfirm dan retur uang dikembalikan dengan cepat gak ribet. untuk pengiriman fleksibel kadang lama kadang cepet mgkin tergantung banyak nya orderan masih bisa dimaklumi. cm saran mending gak usah ada jadwal pengiriman untuk mengurangi komplain konsumen dan tambahan menu lacak pengiriman posisi kurir itu lebih berguna sepertinya. terima kasih.
Eprylya,3,2025-04-14 03:33:10,Ada notif akun ditutup saat mau login aplikasi. Padahal tidak pernah transaksi di luar batas wajar. Kira-kira kenapa ya?
Naufaldi Indirianto,1,2025-04-13 17:40:35,"Dear alfamart, saya termasuk konsumen setia yang sudah lama menggunakan alfamart dan alfagift untuk berbelanja tetapi kali ini saya sangat-sangat kecewa dengan pelayanan pegawai yang melakukan pengiriman pesanan saya, dengan no. pesanan 0-250413-AGKNTJH, tolong di perhatikan dan di tindak lanjuti, terimakasih.."
Habiem Majid,5,2025-04-13 12:18:09,"aplikasi tidak bisa merubah pesanan, diharuskan membuat pesanan baru, voucher sudah terpakai padahal belum melakukan pembayaran. disaat membuat pesanan baru voucher nya tidak bisa digunakan kembali. saya akan merubah rating jika voucher senilai 100 ribu saya dikembalikan."
Eko Wibowo,2,2025-04-13 07:59:24,"Aplikasi sdh disediakan nmr telpon pulsa toko, namun sulit utk dihubungi. Mengapa tdk mewajibkan tiap toko utk disediakan nmr WA saja ? Mana skrg pake lemot² pula saat awal buka, ditambah pake pop up iklan segala 🥴🥴"
Gayuh PD,1,2025-04-13 07:37:02,"chat ke admin cabang tidak pernah dibalas . padahal cuma perihal pertanyaan soal apakah pesanan sudah dikirim atau belum . 3 jam lebih status barang masih ""diproses"" . saya nggak terlalu mempermasalahkan keterlambatan pengiriman, yang jadi permasalahannya adalah tidak ada timbal balik komunikasi dari admin cabang disini . sepertinya admin nya juga bukan bot, karena kadang terlihat semenit dua menit mereka statusnya off"
Alif Airlangga,3,2025-04-13 07:08:53,"waktu pengiriman random, kaga ada gunanya milih waktu pengiriman kalo selalu random kayak gini, udh ngatur maks 1 jam malah dateng 3 jam kemudian, hadeh gmna ini, klo ada kendala pengiriman seharusnya ada notif donk, masa kita customer suruh nebak²."
dito corleone,3,2025-04-13 06:41:59,kalau bisa tebus murah nya dibanyakin produk nya..termasuk produk roti yg expired nya cm seminggu...spy pelanggan lbh sering belanja melalui alfagift
LeMFox CeMpeDaX,1,2025-04-12 19:44:27,"2 kali ngisi saldo e wallet gagal, saldo di e-wallet udah terpotong, tapi dibalik in kagak.. chat CS lebih parah dri chat sama BOT, Parah"" , zaman udah susah gara"" . Balikan Woi saldo Gw"
Kurin Iin,1,2025-04-12 13:57:42,"aplikasi nya sih lumayan, cuma pelayanan dari karyawannya yang sangat2 kurang, saya order mesti pesanan selalu ga sesuai!!!"
Dwisya,5,2025-04-12 12:16:51,"kenapasi aku baru tau aplikasi ini sekarang, bener² memudahkan banget. bahkan aku pesen satu barang tetep dikirim dengan cepat dan gratis ongkir😍"
Farid1245 Ardiansyah,1,2025-04-12 06:35:48,"tolong dong ,kalo kurir emang ga bisa anter jangan disitu tertera pelanggan tidak dapat dihubungi, ,disitu tulisannya 1 jam setelah pembayaran,padahal udh 3 jam loh,,,masih blm dikirim...kocak makin lama alfagift ,,,chat cs ga di bales, gimana pelanggan mau pakai kalo toko dan cs nya gini"
Maya Umayah,4,2025-04-12 03:31:29,"maksudnya gimana sih ,kenapa setiap ingin masuk ke akun alfagift selalu akun saya sudah terblokir ,padahal jelas2 saya masih suka kartu member kok. Dan setiap mau reset pasti ngga bisa"
Dilla Della,1,2025-04-11 17:34:51,"Belanja hampir tiap hari sejak 2023.Sering kali barang saya kurang, saya biarkan,asal bkn kebutuhan pokok yg mahal sekali.Pernah popok kelupaan dimasukan kresek, pernah barang stok habis tapi dana tdk dikembalikan. TDK ADA PRKATAAN MAAF. Kemarin saya pesan susu uht vanila untuk anak saya yg sedang sakit. Malah lupa dimasukan, saya konfirmasi via chat. Mereka seperti tdk percaya dan tdk ada permintaan maaf. Malamnya mereka mengirim kan kekurangan, tp salah rasa coklat, pdhl anak saya alergi!!!!"
Bastian Dpr,1,2025-04-11 15:02:48,"voucher diskon ku hilang begitu saja gara-gara pas cek out kelupaan beli sesuatu,, jadi pas kembali eh tau-tau nya udah masuk pesanan,, nggak bisa cod lagi karena kurang 50.000,, pas mau bayar top up dulu & ternyata waktu pembayaran dikit banget,, asli jengkel banget 👿👿👿,, saran saya jangan tiba-tiba dibuatkan pesanan kalau transaksi belum selesai,, mending belanja di Indomaret, nggak pernah ada kasus voucher hilang 👿👿👿"
Hilman Fauzi,2,2025-04-11 08:21:45,"Pengiriman selalu telat, padahal saya sudha pilih yang max 1 jam setelah pesan..tapi barangnya bisa sampai lebih dari 3 Jam"
Adriana Lubis,2,2025-04-10 15:12:00,"Percuma ada pilihan pengiriman 1 jam setelah lunas klo tidak pernah tepat waktu. Sengaja sy bayar lunas biar cepat kirim, nyatanya tidak pernah terjadi. Ga cuma itu, belum lg pesan telur tp hampir pecah semua, klo qt gak complain kurir diam saja. Pas dicek banyk barang kurang. Hadeuhh gimana ini ya...."
Raihan Akmalano,1,2025-04-10 13:51:10,aplikasi jelek ini kenapa tidak mau langsung masuk poinnya ke dalam akun saya? padahal udah belanja beberapa kali dan pakai member malah blm masuk2 poinnya kocak sekali nih kalah sama team sebelah abis pembayaran struk dan poin langsung masuk ke hp
Riecka Carolline,4,2025-04-10 06:12:22,"aku suka sama aplikasi ini tapi kok setiap kurirnya telepon suaranya ga ada ya? bukan kurirnya yang bermasalah, tapi aplikasinya. ada fitur telepon tapi ketika melakukan komunikasi via telepon suaranya tidak muncul. untuk maps juga suka ga sesuai titiknya, untungnya bisa hyperlink gmaps biar lokasi lebih tepat. itu aja sih keluhanku, tolong diperbaiki ya"
Werren Cornelius,1,2025-04-10 00:07:04,"mau Ajukan Refun harus nunggu 7x24 jam Wahh... Salah Barang , Mau tuker Barang... Malah Di Rifun Uang nya... kalau cepet gpp Sistem Balikin uang nya nie 7x24 jam... Asli Jelek Banget Sistem nya... terus Low Respon Untuk Pembalasan Chat nya Jujur Sistem Oprasional nya Lom Mateng di jalanin... seperti Low Respon Pembalasan dari coustamer... pengirimanya bisa sampe 3 jam..."
Key Mend,1,2025-04-09 23:11:22,"ini pelayanan dari alfamart emang seburuk ini ya? proses lama, ga optimis banget kurir nya pesanan si jadwalin jam 1 siang tapi dianter jam 10 pagi, lah orang lagi kerja ga bisa main HP sengaja mesan jam 1 karna jam istirhata. malah di cancel. it's okay gamasalah, tapi proses pengembalian dana sangat lama, ini maksudnya apa lah. kok ga becus banget mana kadang kurir nya ga ramah lagi. tolong dong pelayanan di alfamart di tingkatkan lagi, yang repot kan bukan di satu pihak aja jadinya!!!!!!!!!!"
Suci Sulistiani,1,2025-04-09 07:35:57,"pengiriman telat parah, bikin males mau belanja di alfa, 2 jam masih dalam proses aja gak jalan jalan, slow respon banget, padahal belanja lumayan banyak tapi karna pengalaman yang mengecewakan jadi males! coba di evaluasi lagi deh biar gak banyak customer kecewa!"
Anggriyani 61,1,2025-04-09 07:25:53,"kecewa banget pertamakali beli barang lewat Aplikasi Alphagift ini. entah tokonya atau aplikasinya gitu. Pesan barang 12.18 , pembayaran 12.21. Sampe sekarang 14.23 masih tahap barang diproses di toko, padahal sudah dipilih jasa pengantaran maksimal sampai 1 jam setelah pembayaran. 14.20 mau batalis tidak bisa dengan alasan, barang sudah tahap pengiriman, padahal diemu tracking masih proses di tokohnya. Alfamart DS. Kemang. Apakah ini tidak ada SOP berapa lama proses dan lama waktu pengiriman?"
Pongpongnm__,1,2025-04-09 04:17:32,"Kecewa sama Alfagift sekarang kurang amanah,kemarin order kurang lengkap produknya tp komplen ngga ditanggepin.Udah dibayar tapi barangnya ngga dikasih."
Nura Shae,1,2025-04-09 03:34:11,"pengiriman'y lamaa... gak Kya dlu, dlu pelayanan'y oke, skrg buruk, pdhl udh pilih maksimal antar 1 jam setelah pembayaran, co jam 8.11 smpe jam 10 lebih gak di antar² orderan'y, pembayaran pun lunas, dan akhir'y cancel, pengembalian dana'y jg lama skitar 1-7 hr gak Kya aplikasi market place lain, bikin males blanja di alfagift lg Klo Kya gini"
Molina Silitonga,4,2025-04-09 02:36:52,"berasa banget manfaat nya tapi kenapa sering banget status barang tersedia pas diklik masuk keranjang langsung berubah stok kosong,semoga makin ditingkatkan lagi."
Wendel,1,2025-04-09 02:12:34,aplikasi ngak bermutu hanya buka fitur pemesanan tapi tidak ada pelayanan yang baik ke pelanggan chat tidak di balas selama hampir 1 jam pesanan tidak sampai yang baru mau coba aplikasi ini lebih baik tidak usah uninstall saja
Achmad Soleh,1,2025-04-08 13:10:51,Tiap belanja dapet voucher di struk nya tp saat di gunakan tidak bisa. padahal sudah belanja minimal
Tedy Syach,3,2025-04-08 12:06:12,"sebenarnya bagus aplikasi cuman gimana yaa untuk voucher di aplikasi tertera dan syaratnya terpenuhi min pembelian, tetapi pas saya tanyakan ke kasir katanya tidak valid tolong lebih di perbaiki lagi , terimakasih 🙏"
ahmad rizki,1,2025-04-08 09:41:45,"buruk, mau daftar aja apknya ngelag parah kadang juga gk bisa padahal jaringan sama HP gk ada masalah daftar di indomaret atau superindo aja aman, ditingkatkan lagi deh"
Iwan Kurniawan,1,2025-04-07 23:56:07,"kecewa sama Alfamart Sawala Majalengka, barang yang dikirim kurang tapi gak ada respon pengembalian barang atau uang, pakai pusat bantuan tidak ada solusi bahkan ribet banget prosesnya, buat yang mau order pakai alfagift hati hati ya mending langsung datang ke toko saja"
Lunar Stamps,5,2025-04-07 23:41:13,"Kadang, kalau aku belanja dari toko langsung, pasti selalu ada yang kelupaan. Nah, berkat aplikasi ini, aku bisa lebih teliti lagi dan gak ada yang namanya lupa. Karena, belanjaanku bisa dimasukin dulu ke fitur keranjang sebelum pesan yang lain.🥰🥰"
Ryan Mulyana,1,2025-04-07 22:40:07,aplikasi buruk sudah belanja di Alfa sampai saat ini belum ada voucher riwayat belanja percuma di tanya member ga masuk mendingan Indomaret belanja tanya member langsung masuk ke point ini mah ga Alfamart aplikasi nya buruk
Fusna Raadifa,3,2025-04-07 11:59:11,"sebenernya aplikasi ini memudahkan hidup, cuma gatau belakangan ini kok gambar produk yang di aplikasi lama sekali utk ditampilkannya atau bahkan tidak muncul sama sekali. jadi kadang bingung juga untuk memilih produk tanpa melihat gambar produknya"
imelda noviani,1,2025-04-07 08:00:49,"pengiriman terlalu lama di salah satu cabang, udah pilih layanan pengiriman maksimal 1 jam tapi ga pernah tepat waktu, di chat tokonya very slow respon, malah pernah diantar jam 11 malam saat org udh tidur, saat minta pengembalian dana mekanisme nya ga jelas, status pengembalian dana diajukan terus ga berubah2, sangat tidak fleksibel padahal suka bgt belanja di alfamart tp krn sistem alfagift nya begini jd kecewa"
acip baraya,1,2025-04-07 00:44:56,"saya pesen online, ada kekurangan belanja sampe sekarang kekurangannya ga dikirim kirim malahan saya ga bisa kirim chat di aplikasi alfagift tersebut, sampe saya pesen lagi pesenannya, kasih tau sama kurir nya ada hg kurang malahan g digubris,"
Melaniar,1,2025-04-06 22:01:36,"gak bisa login katanya akun saya ditutup padahal baru beberapa hari daftar akun, hubungi alfacare juga gak bisa error terus"
Rafa Alfathin Zahran,1,2025-04-06 20:40:05,"gabisa daftar alfagift , nungguin verifikasi nya ga muncul muncul malah layar putih yang muncul padahal nomernya sudah benar,tolong bugnya diperbaiki"
siva,2,2025-04-06 13:14:38,"pengiriman nya setahun wkwk lama bet dah, ini crew yg ngirim nya langsung ngirim in ke alamat tujuan apa nongkrong dl diluar?🤣🤣"
dara mnissa,1,2025-04-06 12:17:07,kali ini bener² trauma belanja di toko ini. lamaa bgt pengirimannya. sekiranya antri & bakal lama kirim harusnya bisa konfirmasi. sebagai konsumen kecewa & sudah kapok .
Ester Cynthia,1,2025-04-06 11:45:47,"Saya beli pulsa melalui Alfagift sejumlah 22.000 lalu tiba tiba ada notifikasi transaksi gagal, saya tunggu 2x24 jam tidak ada transferan masuk ke rekening saya ataupun dalam berbentuk voucher ataupun dalam bentuk A-poin juga tidak ada yang masuk, baru kali ini Alfamart buat saya kecewa"
Mila Fulamah,5,2025-04-06 01:30:52,memudahkan belanja cepat sampai banyak promo Dan tentunya gratis ongkir sukses selalu
Budi Suyitno,3,2025-04-05 13:22:24,"sekarang kalau belanja di alfa lalu misalnya ada kembalian ada buntutnya 2.900 atau 7.100, itu buntut gak lengkap dikasih ke cust kembaliannya, kita cuma di kasih 2.500 dan 7.000 tanpa konfirmasi misal maaf pa 100nya ga ada... kalau memang gada kembaliannya buntut2 gitu, jangan bandrol harga produk dg harga ada buntut begitu juga.. pass in aja .. kalau kembalian gak dikasihkan total tanpa konfirmasi itu namanya apa? #gahalal"
Van Hendry,1,2025-04-05 13:15:36,"sudah 1x24 jam pesanan belum juga keterima padahal dilaporan sedang dalam pengiriman dan sudah keterima,,,, bagaimana ini tanggapan nya kalau pelayanan seperti ini banyak kecewa ke Alfamart"
Ari Mulyono,1,2025-04-05 11:51:42,"aplikasi sampah, kalau dpt hp second jd ga bs akses alfagift karena terdetect akun sebelumnya, dan ga ada solusinya.. aplikasi Banking aja ga gini2 amat proteksinya"
sahra,5,2025-04-05 11:27:55,plis alfagift adain fitur yg bisa di tambahin lagi di riwayat pesanan capek bolak balik cari barang lagi nya 😭
Juanrichi,1,2025-04-05 05:50:39,Pesan dari tggl 1 April dan pengiriman maksimal tggl 4. Dan ini udh tggl 5 belum juga di kirim. saya ke alfamartnya langsung katanya barang ada di gudang. kalau mmg Barangnya gk ready jgn ditaruh di etalase.
Hi Baby,1,2025-04-04 13:29:22,capek kali saya sama aplikasi kalian harus download hapus download hapus sebab gak bisa d buka aplikasi nya sekali bisa d buka aplikasinya belanjaannya gak ada kata orang toko banyak barang yang gak ada kalau emang gak ada seharusnya kan gak bisa di check out kan.. ini udh capek² saya download tau² barang gak ada kecewa berat saya sama alfamart/alfagift tolong di perbaiki ya min
Dungi- Dungi,3,2025-04-04 11:31:11,tdnya bintang 5 sekarang kasih bintang 3... pdhl sy sdh lama pake alfagirt sangat2 membantu utk beli segala macam kebutuhan apa lg banyak promo2nya. skrg sy sangat kecewa kok setiap buka alfagift kok keluar sendiri jd sy tidak bisa lg belanja menggunakan alfagift 😪 keluar bacaan warning 70007 tool (happy mood telah terdeteksi silahkan hapus) tp cara menghapusnya gmn 😭
Teguh Ozil,1,2025-04-04 08:03:10,"aplikasi yang SANGAT RIBET, RUWET, mau claim potong poin aja, harus buka aplikasi, pakai Pin, dll. Malah enak yang dulu, cuma pakai kartu/ no hp, bisa langsung potong poin di kasir tanpa harus ini itu. Saya sudah beberapa kali mau potong poin kayak sulit gitu di toko Alfamart. Barusan saya mau potong poin, eeeh..kasirnya bilang ""tidak bisa Pak, Bisa nya dipakai besok"" kan saya bingung.Ini aplikasi gimana maksudnya.. Ya sudah akhirnya saya pakai tunai aja.Punya poin tapi gak bisa digunakan, RIBET"
Salsa Salwa Sabila,1,2025-04-04 04:45:35,"pengiriman nya lelet banget, pesen dari jam 9 pagi sampai jam 12 siang belum aja di kirim, padahal udah pilih batas pengiriman 1 jam, ngecek di track pesanan sudah di antar tapi kenyataannya pesanan belum di antar, giliran komplen malah di jawab dengan enteng ""iya belum di antar pesanan masih di saya"", kalo gini caranya jangan ada pesan antar kaya gini!!!!! merugikan konsumen!!!!!!!"
γ๑gïε δяεα๓รтнεαтεя,1,2025-04-04 01:22:30,"aplikasi penipu,,,sudah bayar untuk topup e wallet,sampe sekarang saldoku blum bertambah sama sekali,Dan parahnya lagi saya ajukan pengembalian dana malah saya di persulit,Bangka emang aplikasi ini"
Qoriatul Fasichah,2,2025-04-03 21:02:56,"ganti hp pas mau masuk lagi susah lagi. pdhl nomer bener & ada kode otp juga, bahkan dikirim dari email atau watsap tp tetep aja tidak bisa log in."
Sri Nurani,1,2025-04-03 13:01:41,"alfamart bantarbolang- Pemalang Klo semisal pengiriman mau telat begini statusnya tinggal sedang disiapkan aja jangan diganti dlam proses pengiriman selalu seperti ini setiap pesan nggak pernah ada perubahan ,padahal bolak balik di tegur kurirnya ."
Ivo ayu intan,1,2025-04-03 11:47:07,"saya download ini sengaja karna butuh urgent bgt, saya chat tp pegawainya bilang lg ga ada yg backup karna lg banyak antrian,... ya terus gimana???? saya udh tunggu lebih dari setengah jam tp ga ada respon lg kecewa bgt lah pertama kali download niat biar cepet karna urgent malah ga bisa cepet"
Dewi Fortuna,5,2025-04-03 09:40:35,"aplikasi belanja andalan terpercaya cepat banyak diskon & grts ongkir pdhl aku udh pindah rumahnya lumayan jauh dari kota, tetep diantar sepenuh hati, lebih di upgrade lagi kualitasnya terimakasih afagift by Alfamart"
Ayu Sintia,1,2025-04-03 09:06:09,"aplikasinya lemot bgt, gambarnya ga muncul,udah 1 bulan kaya gini terus, tolong diperbaiki ya, karna sebelumnya gaada masalah apapun"
Amarul Hisni,3,2025-04-03 08:06:18,"tolong yaa upgrade poin dan vouchernya ditingkatkan lagi, soalnya saya pernah pas waktu mau transaksi pake voucher ternyata vouchernya udh redeem tpi di keterangan alfagift masih tersedia, tolong ditingkatkan lagi keaktifan dan kecepatan upgrade nya"
mega Amalia,5,2025-04-02 10:38:12,untuk keseluruhan aku kasih bintang 5. yang masih kurang bagian suka ke log out sendiri kalau lama sudah ga di buka. itu ga nyaman banget sii
Imaniar yunia malik,5,2025-04-02 10:06:33,keren banget sih aplikasi Alfagift banyak promonya bisa delivery pembayaran mudah dan paling seneng bisa kirim belanjaan ke orang terdekat meski beda pulau 😍😍😍😍
Sri Wulan,5,2025-04-02 03:28:57,maaf mau bertanya kalo belanja ke toko langsung tapi struk nya masuk aplikasi itu cara lihatnya di menu mana ya?
Shafa Qa,1,2025-04-02 01:25:24,"nggak tau di semua daerah gini atau nggak, tapi setiap pesan lewat alfagift pengirimannya lama. kita bisa pilih sih mau dikirim jam berapa. tapi kalau milih pengiriman maksimal 1 jam setelah co bener² dikirim swmaksimal mungkin bisa sampek satu jam lebihh. kesel sih apalagi kalau udah emang butuh dan ada halangan buat keluar"
Erwin,1,2025-04-01 21:18:53,"Kecewa belanja di apk ini.Pesan di tgl 29 lalu diinfokan tgl 1 paling lambat pesanan nya tiba. Di chat di apk,mesin yg menjawab. Via DM IG sm jg,lalu kirim pesan melalui email pesannya bolak balik,sdh dilengkapi data yg diminta msh lg dgn pesan yg sama. Sy tdk akan menggunakan apk u berbelanja barang yg persediaan gudang,kapok sy Hari ini tgl 2 barang yg dipesan blm jg diantarkan."
Ali Mustofa,1,2025-04-01 13:57:58,"Aplikasi ini tidak dapat digunakan salah satu nya adalah alamat saya. Karena alamat yang saya isi sebelum nya tidak tercover padahal alamat itu sudah sesuai yang ada di indentitas/KTP, Saya benar-benar kecewa. Hapus saja aplikasi ini dari play store."
ririn setyawati,1,2025-04-01 09:43:29,"Tiba tiba saja akunku ditutup padahal aku sudah belanja puluhan juta dialfamart selama setahun terakhir Aku beli barang apapun entah itu harga normal dan promo, transaksi yang normal sih bukan mencurigakan. Hai Alfa yang terhormat, kalian sudah aku untungkan dengan pembelanjaanku. Hebatnya member level crazyrich ditutup gitu aja Hati hati untuk kalian yang mau belanja banyak di aplikasi ini!! Takutnya nanti apes kaya aku"
